en_name	sci_name	pl_name	notes
Eurasian Hoopoe	Upupa epops	dudek	
European Bee-eater	Merops apiaster	żołna	
Common Kingfisher	Alcedo atthis	zimorodek	
Pied Kingfisher	Ceryle rudis	rybaczek srokaty	Rzadki/Sporadyczny
European Roller	Coracias garrulus	kraska	
Eurasian Wryneck	Jynx torquilla	krętogłów	
Eurasian Three-toed Woodpecker	Picoides tridactylus	dzięcioł trójpalczasty	
Middle Spotted Woodpecker	Dendrocoptes medius	dzięcioł średni	
White-backed Woodpecker	Dendrocopos leucotos	dzięcioł białogrzbiety	
Great Spotted Woodpecker	Dendrocopos major	dzięcioł duży	
Syrian Woodpecker	Dendrocopos syriacus	dzięcioł białoszyi	
Lesser Spotted Woodpecker	Dryobates minor	dzięciołek	
Gray-headed Woodpecker	Picus canus	dzięcioł zielonosiwy	
Eurasian Green Woodpecker	Picus viridis	dzięcioł zielony	
Black Woodpecker	Dryocopus martius	dzięcioł czarny	
Lesser Kestrel	Falco naumanni	pustułeczka	Rzadki/Sporadyczny
Eurasian Kestrel	Falco tinnunculus	pustułka	
Red-footed Falcon	Falco vespertinus	kobczyk	Potencjalnie zagrozony
Eleonora's Falcon	Falco eleonorae	sokół skalny	Rzadki/Sporadyczny
Merlin	Falco columbarius	drzemlik	
Eurasian Hobby	Falco subbuteo	kobuz	
Saker Falcon	Falco cherrug	raróg	Rzadki/Sporadyczny Zagrozony
Gyrfalcon	Falco rusticolus	białozór	Rzadki/Sporadyczny
Peregrine Falcon	Falco peregrinus	sokół wędrowny	
Red-eyed Vireo	Vireo olivaceus	wireonek czerwonooki	Rzadki/Sporadyczny
Eurasian Golden Oriole	Oriolus oriolus	wilga	
Red-backed Shrike	Lanius collurio	gąsiorek	
Red-tailed Shrike	Lanius phoenicuroides	dzierzba rdzawosterna	Rzadki/Sporadyczny
Isabelline Shrike	Lanius isabellinus	dzierzba pustynna	Rzadki/Sporadyczny
Northern Shrike	Lanius borealis	srokosz północny	Rzadki/Sporadyczny
Great Gray Shrike	Lanius excubitor	srokosz	
Lesser Gray Shrike	Lanius minor	dzierzba czarnoczelna	
Woodchat Shrike	Lanius senator	dzierzba rudogłowa	Prawie zagrozony
Siberian Jay	Perisoreus infaustus	sójka syberyjska	Rzadki/Sporadyczny
Eurasian Jay	Garrulus glandarius	sójka	
Eurasian Magpie	Pica pica	sroka	
Northern Nutcracker	Nucifraga caryocatactes	orzechówka (zwyczajna)	
Yellow-billed Chough	Pyrrhocorax graculus	wieszczek	Rzadki/Sporadyczny
Eurasian Jackdaw	Coloeus monedula	kawka	
Rook	Corvus frugilegus	gawron	
Carrion Crow	Corvus corone	czarnowron	
Hooded Crow	Corvus cornix	wrona siwa	
Common Raven	Corvus corax	kruk	
Coal Tit	Periparus ater	sosnówka	
Crested Tit	Lophophanes cristatus	czubatka	
Marsh Tit	Poecile palustris	sikora uboga	
Willow Tit	Poecile montanus	czarnogłówka	
Eurasian Blue Tit	Cyanistes caeruleus	modraszka	
Azure Tit	Cyanistes cyanus	sikora lazurowa	Rzadki/Sporadyczny
Great Tit	Parus major	bogatka	
Eurasian Penduline-Tit	Remiz pendulinus	remiz	
Wood Lark	Lullula arborea	lerka	
White-winged Lark	Alauda leucoptera	kalandra białoskrzydła	Rzadki/Sporadyczny
Eurasian Skylark	Alauda arvensis	skowronek	
Crested Lark	Galerida cristata		
Horned Lark	Eremophila alpestris	górniczek	
Greater Short-toed Lark	Calandrella brachydactyla	skowrończyk krótkopalcowy	Rzadki/Sporadyczny
Bimaculated Lark	Melanocorypha bimaculata	kalandra dwuplamista	Rzadki/Sporadyczny
Calandra Lark	Melanocorypha calandra	kalandra szara	Rzadki/Sporadyczny
Black Lark	Melanocorypha yeltoniensis	kalandra czarna	Rzadki/Sporadyczny
Mediterranean Short-toed Lark	Alaudala rufescens	skowrończyk mały	Rzadki/Sporadyczny
Bearded Reedling	Panurus biarmicus	wąsatka	
Booted Warbler	Iduna caligata	zaganiacz mały	Rzadki/Sporadyczny
Sykes's Warbler	Iduna rama	zaganiacz afgański	Rzadki/Sporadyczny
Eastern Olivaceous Warbler	Iduna pallida	zaganiacz blady	Rzadki/Sporadyczny
Melodious Warbler	Hippolais polyglotta	zaganiacz szczebiotliwy	Rzadki/Sporadyczny
Icterine Warbler	Hippolais icterina	zaganiacz	
Aquatic Warbler	Acrocephalus paludicola	wodniczka	Potencjalnie zagrozony
Moustached Warbler	Acrocephalus melanopogon	tamaryszka	Rzadki/Sporadyczny
Sedge Warbler	Acrocephalus schoenobaenus	rokitniczka	
Paddyfield Warbler	Acrocephalus agricola	trzcinniczek kaspijski	Rzadki/Sporadyczny
Blyth's Reed Warbler	Acrocephalus dumetorum	zaroślówka	
Marsh Warbler	Acrocephalus palustris	łozówka	
Common Reed Warbler	Acrocephalus scirpaceus	trzcinniczek (zwyczajny)	
Great Reed Warbler	Acrocephalus arundinaceus	trzciniak	
Pallas's Grasshopper Warbler	Helopsaltes certhiola	świerszczak melodyjny	Rzadki/Sporadyczny
River Warbler	Locustella fluviatilis	strumieniówka	
Savi's Warbler	Locustella luscinioides	brzęczka	
Common Grasshopper Warbler	Locustella naevia	świerszczak	
Bank Swallow	Riparia riparia	brzegówka	
Eurasian Crag-Martin	Ptyonoprogne rupestris	jaskółka skalna	Rzadki/Sporadyczny
Barn Swallow	Hirundo rustica	dymówka	
Western House-Martin	Delichon urbicum	oknówka (zwyczajna)	
European Red-rumped Swallow	Cecropis rufula	jaskólka sródziemnomorska	
Wood Warbler	Phylloscopus sibilatrix	świstunka leśna	
Western Bonelli's Warbler	Phylloscopus bonelli	świstunka górska	Rzadki/Sporadyczny
Yellow-browed Warbler	Phylloscopus inornatus	świstunka żółtawa	Rzadki/Sporadyczny
Hume's Warbler	Phylloscopus humei	świstunka ałtajska	Rzadki/Sporadyczny
Pallas's Leaf Warbler	Phylloscopus proregulus	świstunka złotawa	Rzadki/Sporadyczny
Radde's Warbler	Phylloscopus schwarzi	świstunka grubodzioba	Rzadki/Sporadyczny
Dusky Warbler	Phylloscopus fuscatus	świstunka brunatna	Rzadki/Sporadyczny
Willow Warbler	Phylloscopus trochilus	piecuszek	
Common Chiffchaff	Phylloscopus collybita	pierwiosnek	
Iberian Chiffchaff	Phylloscopus ibericus	świstunka iberyjska	Rzadki/Sporadyczny
Greenish Warbler	Phylloscopus trochiloides	wójcik	
Arctic Warbler	Phylloscopus borealis	świstunka północna	Rzadki/Sporadyczny
Long-tailed Tit	Aegithalos caudatus	raniuszek	
Eurasian Blackcap	Sylvia atricapilla	kapturka	
Garden Warbler	Sylvia borin	gajówka	
Barred Warbler	Curruca nisoria	jarzębatka	
Lesser Whitethroat	Curruca curruca	piegża	
Sardinian Warbler	Curruca melanocephala	pokrzewka aksamitna	Rzadki/Sporadyczny
Western Subalpine Warbler	Curruca iberiae	pokrzewka iberyjska	Rzadki/Sporadyczny
Eastern Subalpine Warbler	Curruca cantillans	pokrzewka wąsata	Rzadki/Sporadyczny
Greater Whitethroat	Curruca communis	cierniówka	
Goldcrest	Regulus regulus	mysikrólik	
Common Firecrest	Regulus ignicapilla	zniczek	
Wallcreeper	Tichodroma muraria	pomurnik	
Eurasian Nuthatch	Sitta europaea	kowalik (zwyczajny)	
Eurasian Treecreeper	Certhia familiaris	pełzacz leśny	
Short-toed Treecreeper	Certhia brachydactyla	pełzacz ogrodowy	
Eurasian Wren	Troglodytes troglodytes	strzyżyk	
White-throated Dipper	Cinclus cinclus	pluszcz	
European Starling	Sturnus vulgaris	szpak	
Spotless Starling	Sturnus unicolor	szpak jednobarwny	Rzadki/Sporadyczny
Rosy Starling	Pastor roseus	pasterz	Rzadki/Sporadyczny
White's Thrush	Zoothera aurea	drozdoń tajgowy	Rzadki/Sporadyczny
Scaly Thrush	Zoothera dauma	drozdoń pstry	Rzadki/Sporadyczny
Siberian Thrush	Geokichla sibirica	drozdoń ciemny	Rzadki/Sporadyczny
Mistle Thrush	Turdus viscivorus	paszkot	
Song Thrush	Turdus philomelos	śpiewak	
Redwing	Turdus iliacus	droździk	Prawie zagrozony
Eurasian Blackbird	Turdus merula	kos	
Eyebrowed Thrush	Turdus obscurus	drozd oliwkowy	Rzadki/Sporadyczny
Fieldfare	Turdus pilaris	kwiczoł	
Ring Ouzel	Turdus torquatus	drozd obrożny	
Black-throated Thrush	Turdus atrogularis	drozd czarnogardły	Rzadki/Sporadyczny
Red-throated Thrush	Turdus ruficollis	drozd rdzawogardły	Rzadki/Sporadyczny
Dusky Thrush	Turdus eunomus	drozd rdzawoskrzydły	Rzadki/Sporadyczny
Naumann's Thrush	Turdus naumanni	drozd rdzawy	Rzadki/Sporadyczny
Spotted Flycatcher	Muscicapa striata	muchołówka szara	
European Robin	Erithacus rubecula	rudzik	
Rufous-tailed Robin	Larvivora sibilans	słowik syberyjski	Rzadki/Sporadyczny
Thrush Nightingale	Luscinia luscinia	słowik szary	
Common Nightingale	Luscinia megarhynchos	słowik rdzawy	
Bluethroat	Luscinia svecica	podróżniczek	
Red-flanked Bluetail	Tarsiger cyanurus	modraczek (zwyczajny)	Rzadki/Sporadyczny
Red-breasted Flycatcher	Ficedula parva	muchołówka mała	
European Pied Flycatcher	Ficedula hypoleuca	muchołówka żałobna	
Collared Flycatcher	Ficedula albicollis	muchołówka białoszyja	
Common Redstart	Phoenicurus phoenicurus	pleszka	
Black Redstart	Phoenicurus ochruros	kopciuszek	
Rufous-tailed Rock-Thrush	Monticola saxatilis	nagórnik	Rzadki/Sporadyczny
Whinchat	Saxicola rubetra	pokląskwa	
European Stonechat	Saxicola rubicola	kląskawka	
Siberian Stonechat	Saxicola maurus	kląskawka syberyjska	Rzadki/Sporadyczny
Northern Wheatear	Oenanthe oenanthe	białorzytka (zwyczajna)	
Isabelline Wheatear	Oenanthe isabellina	białorzytka płowa	Rzadki/Sporadyczny
Desert Wheatear	Oenanthe deserti	białorzytka pustynna	Rzadki/Sporadyczny
Western Black-eared Wheatear	Oenanthe hispanica	białorzytka rdzawa	Rzadki/Sporadyczny
Pied Wheatear	Oenanthe pleschanka	białorzytka pstra	Rzadki/Sporadyczny
White-crowned Wheatear	Oenanthe leucopyga	białorzytka saharyjska	Rzadki/Sporadyczny
Bohemian Waxwing	Bombycilla garrulus	jemiołuszka	
Alpine Accentor	Prunella collaris	płochacz halny	
Siberian Accentor	Prunella montanella	płochacz syberyjski	Rzadki/Sporadyczny
Black-throated Accentor	Prunella atrogularis	płochacz czarnogardły	Rzadki/Sporadyczny
Dunnock	Prunella modularis	pokrzywnica	
House Sparrow	Passer domesticus	wróbel	
Eurasian Tree Sparrow	Passer montanus	mazurek	
Rock Sparrow	Petronia petronia	wróbel skalny	Rzadki/Sporadyczny
White-winged Snowfinch	Montifringilla nivalis	śnieżka	Rzadki/Sporadyczny
Gray Wagtail	Motacilla cinerea	pliszka górska	
Western Yellow Wagtail	Motacilla flava	pliszka żółta	
Eastern Yellow Wagtail	Motacilla tschutschensis	pliszka syberyjska	Rzadki/Sporadyczny
Citrine Wagtail	Motacilla citreola	pliszka cytrynowa	
White Wagtail	Motacilla alba	pliszka siwa	
Richard's Pipit	Anthus richardi	świergotek szponiasty	Rzadki/Sporadyczny
Blyth's Pipit	Anthus godlewskii	świergotek stepowy	Rzadki/Sporadyczny
Tawny Pipit	Anthus campestris	świergotek polny	
Meadow Pipit	Anthus pratensis	świergotek łąkowy	
Tree Pipit	Anthus trivialis	świergotek drzewny	
Olive-backed Pipit	Anthus hodgsoni	świergotek tajgowy	Rzadki/Sporadyczny
Pechora Pipit	Anthus gustavi	świergotek tundrowy	Rzadki/Sporadyczny
Red-throated Pipit	Anthus cervinus	świergotek rdzawogardły	
Water Pipit	Anthus spinoletta	siwerniak	
Rock Pipit	Anthus petrosus	świergotek nadmorski	
Common Chaffinch	Fringilla coelebs	zięba (zwyczajna)	
Brambling	Fringilla montifringilla	jer	
Hawfinch	Coccothraustes coccothraustes	grubodziób	
Common Rosefinch	Carpodacus erythrinus	dziwonia	
Pine Grosbeak	Pinicola enucleator	łuskowiec	Rzadki/Sporadyczny
Eurasian Bullfinch	Pyrrhula pyrrhula	gil	
Trumpeter Finch	Bucanetes githagineus	gilak pustynny	Rzadki/Sporadyczny
European Greenfinch	Chloris chloris	dzwoniec	
Twite	Linaria flavirostris	rzepołuch	
Eurasian Linnet	Linaria cannabina	makolągwa	
Redpoll	Acanthis flammea	czeczotka	
Parrot Crossbill	Loxia pytyopsittacus	krzyżodziób sosnowy	Rzadki/Sporadyczny
Red Crossbill	Loxia curvirostra	krzyżodziób świerkowy	
White-winged Crossbill	Loxia leucoptera	krzyżodziób modrzewiowy	Rzadki/Sporadyczny
European Goldfinch	Carduelis carduelis	szczygieł	
Citril Finch	Carduelis citrinella	osetnik	Rzadki/Sporadyczny
European Serin	Serinus serinus	kulczyk	
Eurasian Siskin	Spinus spinus	czyż	
Lapland Longspur	Calcarius lapponicus	poświerka	
Snow Bunting	Plectrophenax nivalis	śnieguła	
Black-headed Bunting	Emberiza melanocephala	trznadel czarnogłowy	Rzadki/Sporadyczny
Red-headed Bunting	Emberiza bruniceps	trznadel rudogłowy	Rzadki/Sporadyczny
Corn Bunting	Emberiza calandra	potrzeszcz	
Rock Bunting	Emberiza cia	głuszek	Rzadki/Sporadyczny
Cirl Bunting	Emberiza cirlus	cierlik	Rzadki/Sporadyczny
Yellowhammer	Emberiza citrinella	trznadel	
Pine Bunting	Emberiza leucocephalos	trznadel białogłowy	Rzadki/Sporadyczny
Ortolan Bunting	Emberiza hortulana	ortolan	
Reed Bunting	Emberiza schoeniclus	potrzos	
Yellow-breasted Bunting	Emberiza aureola	trznadel złotawy	Rzadki/Sporadyczny Zagrozony krytycznie
Little Bunting	Emberiza pusilla	trznadelek	Rzadki/Sporadyczny
Rustic Bunting	Emberiza rustica	trznadel czubaty	Rzadki/Sporadyczny Potencjalnie zagrozony
Black-faced Bunting	Emberiza spodocephala	trznadel szarogłowy	Rzadki/Sporadyczny
Yellow-browed Bunting	Emberiza chrysophrys	trznadel złotobrewy	Rzadki/Sporadyczny
Dark-eyed Junco	Junco hyemalis	junko	Rzadki/Sporadyczny
Savannah Sparrow	Passerculus sandwichensis	bagiennik żółtobrewy	Rzadki/Sporadyczny
Indigo Bunting	Passerina cyanea	łuszczyk indygowy	Niepewne pochodzenie
