en_name	sci_name	pl_name	notes
Willow Flycatcher	Empidonax traillii	empidonka mała	Rare/Accidental
Least Flycatcher	Empidonax minimus	empidonka siwa	Rare/Accidental
Eastern Phoebe	Sayornis phoebe	fibik oliwkowy	Rare/Accidental
Western Kingbird	Tyrannus verticalis	tyran zachodni	Rare/Accidental
Eastern Kingbird	Tyrannus tyrannus	tyran północny	Rare/Accidental
Fork-tailed Flycatcher	Tyrannus savana	tyran widłosterny	Rare/Accidental
White-eyed Vireo	Vireo griseus	wireonek białooki	Rare/Accidental
Yellow-throated Vireo	Vireo flavifrons	wireonek żółtogardły	Rare/Accidental
Blue-headed Vireo	Vireo solitarius	wireonek siwy	Rare/Accidental
Philadelphia Vireo	Vireo philadelphicus	wireonek cytrynowy	Rare/Accidental
Red-eyed Vireo	Vireo olivaceus	wireonek czerwonooki	Rare/Accidental
Eurasian Golden Oriole	Oriolus oriolus	wilga	
Indian Golden Oriole	Oriolus kundoo	wilga złotoplama	Rare/Accidental
Ashy Drongo	Dicrurus leucophaeus	dziwogon popielaty	Uncertain origin
Red-backed Shrike	Lanius collurio	gąsiorek	
Red-tailed Shrike	Lanius phoenicuroides	dzierzba rdzawosterna	Rare/Accidental
Isabelline Shrike	Lanius isabellinus	dzierzba pustynna	Rare/Accidental
Brown Shrike	Lanius cristatus	dzierzba brązowa	Rare/Accidental
Long-tailed Shrike	Lanius schach	dzierzba zmienna	Rare/Accidental
Northern Shrike	Lanius borealis	srokosz północny	Rare/Accidental
Iberian Gray Shrike	Lanius meridionalis	dzierzba śródziemnomorska	Vulnerable
Great Gray Shrike	Lanius excubitor	srokosz	
Lesser Gray Shrike	Lanius minor	dzierzba czarnoczelna	
Masked Shrike	Lanius nubicus	dzierzba białoczelna	
Woodchat Shrike	Lanius senator	dzierzba rudogłowa	Near-threatened
Siberian Jay	Perisoreus infaustus	sójka syberyjska	
Eurasian Jay	Garrulus glandarius	sójka	
Iberian Magpie	Cyanopica cooki	sójka iberyjska	
Eurasian Magpie	Pica pica	sroka	
Northern Nutcracker	Nucifraga caryocatactes	orzechówka (zwyczajna)	
Southern Nutcracker	Nucifraga hemispila	orzechówka brązowa	
Red-billed Chough	Pyrrhocorax pyrrhocorax	wrończyk	
Yellow-billed Chough	Pyrrhocorax graculus	wieszczek	
Eurasian Jackdaw	Coloeus monedula	kawka	
Daurian Jackdaw	Coloeus dauuricus	kawka srokata	Rare/Accidental
House Crow	Corvus splendens	wrona orientalna	Rare/Accidental
Rook	Corvus frugilegus	gawron	
Carrion Crow	Corvus corone	czarnowron	
Hooded Crow	Corvus cornix	wrona siwa	
Fan-tailed Raven	Corvus rhipidurus	kruk kusy	Rare/Accidental
Common Raven	Corvus corax	kruk	
Coal Tit	Periparus ater	sosnówka	
Crested Tit	Lophophanes cristatus	czubatka	
Sombre Tit	Poecile lugubris	sikora żałobna	
Marsh Tit	Poecile palustris	sikora uboga	
Willow Tit	Poecile montanus	czarnogłówka	
Gray-headed Chickadee	Poecile cinctus	sikora północna	
Eurasian Blue Tit	Cyanistes caeruleus	modraszka	
African Blue Tit	Cyanistes teneriffae	modraszka kanaryjska	
Azure Tit	Cyanistes cyanus	sikora lazurowa	
Great Tit	Parus major	bogatka	
Eurasian Penduline-Tit	Remiz pendulinus	remiz	
Greater Hoopoe-Lark	Alaemon alaudipes	skowron pustynny	Rare/Accidental
Thick-billed Lark	Ramphocoris clotbey	skowroniak	Rare/Accidental
Bar-tailed Lark	Ammomanes cinctura	skowronik rudawy	Rare/Accidental
Desert Lark	Ammomanes deserti	skowronik piaskowy	Rare/Accidental
Wood Lark	Lullula arborea	lerka	
White-winged Lark	Alauda leucoptera	kalandra białoskrzydła	Rare/Accidental
Eurasian Skylark	Alauda arvensis	skowronek	
Oriental Skylark	Alauda gulgula	skowronek orientalny	Rare/Accidental
Thekla's Lark	Galerida theklae	dzierlatka iberyjska	Rare/Accidental
Crested Lark	Galerida cristata		
Horned Lark	Eremophila alpestris	górniczek	
Temminck's Lark	Eremophila bilopha	górniczek mały	Rare/Accidental
Greater Short-toed Lark	Calandrella brachydactyla	skowrończyk krótkopalcowy	
Bimaculated Lark	Melanocorypha bimaculata	kalandra dwuplamista	Rare/Accidental
Calandra Lark	Melanocorypha calandra	kalandra szara	Rare/Accidental
Black Lark	Melanocorypha yeltoniensis	kalandra czarna	Rare/Accidental
Dupont's Lark	Chersophilus duponti	skowrończyk sierpodzioby	Vulnerable
Asian Short-toed Lark	Alaudala cheleensis	skowrończyk mongolski	Rare/Accidental
Mediterranean Short-toed Lark	Alaudala rufescens	skowrończyk mały	
Turkestan Short-toed Lark	Alaudala heinei	skowrończyk kaspijski	
Bearded Reedling	Panurus biarmicus	wąsatka	
Zitting Cisticola	Cisticola juncidis	chwastówka (zwyczajna)	
Thick-billed Warbler	Arundinax aedon	zaganiacz grubodzioby	Rare/Accidental
Booted Warbler	Iduna caligata	zaganiacz mały	Rare/Accidental
Sykes's Warbler	Iduna rama	zaganiacz afgański	
Eastern Olivaceous Warbler	Iduna pallida	zaganiacz blady	
Western Olivaceous Warbler	Iduna opaca	zaganiacz płowy	
Upcher's Warbler	Hippolais languida	zaganiacz pustynny	
Olive-tree Warbler	Hippolais olivetorum	zaganiacz oliwny	
Melodious Warbler	Hippolais polyglotta	zaganiacz szczebiotliwy	
Icterine Warbler	Hippolais icterina	zaganiacz	
Aquatic Warbler	Acrocephalus paludicola	wodniczka	Vulnerable
Moustached Warbler	Acrocephalus melanopogon	tamaryszka	
Sedge Warbler	Acrocephalus schoenobaenus	rokitniczka	
Paddyfield Warbler	Acrocephalus agricola	trzcinniczek kaspijski	Rare/Accidental
Blyth's Reed Warbler	Acrocephalus dumetorum	zaroślówka	
Marsh Warbler	Acrocephalus palustris	łozówka	
Common Reed Warbler	Acrocephalus scirpaceus	trzcinniczek (zwyczajny)	
Great Reed Warbler	Acrocephalus arundinaceus	trzciniak	
Clamorous Reed Warbler	Acrocephalus stentoreus	trzciniak głośny	Rare/Accidental
Gray's Grasshopper Warbler	Helopsaltes fasciolatus	świerszczak tajgowy	Rare/Accidental
Pallas's Grasshopper Warbler	Helopsaltes certhiola	świerszczak melodyjny	Rare/Accidental
Lanceolated Warbler	Locustella lanceolata	świerszczak nakrapiany	Rare/Accidental
River Warbler	Locustella fluviatilis	strumieniówka	
Savi's Warbler	Locustella luscinioides	brzęczka	
Common Grasshopper Warbler	Locustella naevia	świerszczak	
Plain Martin	Riparia paludicola	brzegówka mała	Rare/Accidental
Bank Swallow	Riparia riparia	brzegówka	
Pale Martin	Riparia diluta	brzegówka azjatycka	
Tree Swallow	Tachycineta bicolor	nadobniczka drzewna	Rare/Accidental
Purple Martin	Progne subis	jaskółczak modry	Rare/Accidental
Northern Rough-winged Swallow	Stelgidopteryx serripennis	wodówka północna	Rare/Accidental
Eurasian Crag-Martin	Ptyonoprogne rupestris	jaskółka skalna	
Pale Crag-Martin	Ptyonoprogne obsoleta	jaskółka płowa	Rare/Accidental
Barn Swallow	Hirundo rustica	dymówka	
Western House-Martin	Delichon urbicum	oknówka (zwyczajna)	
Siberian House-Martin	Delichon lagopodum	oknówka syberyjska	
European Red-rumped Swallow	Cecropis rufula	jaskólka sródziemnomorska	
Eastern Red-rumped Swallow	Cecropis daurica	jaskółka rudawa	Rare/Accidental
Rufous-chested Swallow	Cecropis semirufa	jaskółka rdzawobrzucha	Rare/Accidental
Cliff Swallow	Petrochelidon pyrrhonota	jaskółka rdzawoszyja	Rare/Accidental
Common Bulbul	Pycnonotus barbatus	bilbil ogrodowy	
White-eared Bulbul	Pycnonotus leucotis	bilbil białouchy	
Wood Warbler	Phylloscopus sibilatrix	świstunka leśna	
Western Bonelli's Warbler	Phylloscopus bonelli	świstunka górska	
Eastern Bonelli's Warbler	Phylloscopus orientalis	świstunka złotorzytna	
Yellow-browed Warbler	Phylloscopus inornatus	świstunka żółtawa	Rare/Accidental
Hume's Warbler	Phylloscopus humei	świstunka ałtajska	Rare/Accidental
Brooks's Leaf Warbler	Phylloscopus subviridis	świstunka żółtozielona	Rare/Accidental
Pallas's Leaf Warbler	Phylloscopus proregulus	świstunka złotawa	Rare/Accidental
Radde's Warbler	Phylloscopus schwarzi	świstunka grubodzioba	Rare/Accidental
Sulphur-bellied Warbler	Phylloscopus griseolus	świstunka żółtobrzucha	Rare/Accidental
Dusky Warbler	Phylloscopus fuscatus	świstunka brunatna	
Plain Leaf Warbler	Phylloscopus neglectus	świstunka afgańska	Rare/Accidental
Willow Warbler	Phylloscopus trochilus	piecuszek	
Mountain Chiffchaff	Phylloscopus sindianus	świstunka szarawa	Rare/Accidental
Canary Islands Chiffchaff	Phylloscopus canariensis	świstunka kanaryjska	
Common Chiffchaff	Phylloscopus collybita	pierwiosnek	
Iberian Chiffchaff	Phylloscopus ibericus	świstunka iberyjska	
Eastern Crowned Warbler	Phylloscopus coronatus	świstunka oliwkowa	Rare/Accidental
Brown Woodland-Warbler	Phylloscopus umbrovirens	świstunka ciemna	Rare/Accidental
Green Warbler	Phylloscopus nitidus	świstunka kaukaska	
Greenish Warbler	Phylloscopus trochiloides	wójcik	
Two-barred Warbler	Phylloscopus plumbeitarsus	świstunka amurska	
Large-billed Leaf Warbler	Phylloscopus magnirostris	świstunka wielkodzioba	Rare/Accidental
Pale-legged Leaf Warbler	Phylloscopus tenellipes	świstunka brązowa	Rare/Accidental
Arctic Warbler	Phylloscopus borealis	świstunka północna	
Kamchatka Leaf Warbler	Phylloscopus examinandus	świstunka kamczacka	Rare/Accidental
Cetti's Warbler	Cettia cetti	wierzbówka	
Long-tailed Tit	Aegithalos caudatus	raniuszek	
Eurasian Blackcap	Sylvia atricapilla	kapturka	
Garden Warbler	Sylvia borin	gajówka	
Barred Warbler	Curruca nisoria	jarzębatka	
Lesser Whitethroat	Curruca curruca	piegża	
Western Orphean Warbler	Curruca hortensis	lutniczka zachodnia	
Eastern Orphean Warbler	Curruca crassirostris	lutniczka wschodnia	
African Desert Warbler	Curruca deserti	pokrzewka saharyjska	Rare/Accidental
Asian Desert Warbler	Curruca nana	pokrzewka pustynna	Rare/Accidental
Tristram's Warbler	Curruca deserticola	pokrzewka algierska	
Menetries's Warbler	Curruca mystacea	pokrzewka kaspijska	Rare/Accidental
Rüppell's Warbler	Curruca ruppeli	pokrzewka czarnogardła	
Cyprus Warbler	Curruca melanothorax	pokrzewka cypryjska	
Sardinian Warbler	Curruca melanocephala	pokrzewka aksamitna	
Moltoni's Warbler	Curruca subalpina	pokrzewka różowobrzucha	
Western Subalpine Warbler	Curruca iberiae	pokrzewka iberyjska	
Eastern Subalpine Warbler	Curruca cantillans	pokrzewka wąsata	
Greater Whitethroat	Curruca communis	cierniówka	
Spectacled Warbler	Curruca conspicillata	pokrzewka okularowa	
Marmora's Warbler	Curruca sarda	pokrzewka czarniawa	
Dartford Warbler	Curruca undata	pokrzewka kasztanowata	Near-threatened
Balearic Warbler	Curruca balearica	pokrzewka balearska	
Ashy-throated Parrotbill	Suthora alphonsiana	ogoniatka rdzawogłowa	Introduced species
Red-billed Leiothrix	Leiothrix lutea	pekińczyk czerwonodzioby	Introduced species
Ruby-crowned Kinglet	Corthylio calendula	ogniczek	Rare/Accidental
Goldcrest	Regulus regulus	mysikrólik	
Madeira Firecrest	Regulus madeirensis	zniczek maderski	
Common Firecrest	Regulus ignicapilla	zniczek	
Wallcreeper	Tichodroma muraria	pomurnik	
Krüper's Nuthatch	Sitta krueperi	kowalik turecki	
Red-breasted Nuthatch	Sitta canadensis	kowalik czarnogłowy	Rare/Accidental
Corsican Nuthatch	Sitta whiteheadi	kowalik korsykański	Vulnerable
Western Rock Nuthatch	Sitta neumayer	kowalik skalny	
Eurasian Nuthatch	Sitta europaea	kowalik (zwyczajny)	
Eurasian Treecreeper	Certhia familiaris	pełzacz leśny	
Short-toed Treecreeper	Certhia brachydactyla	pełzacz ogrodowy	
Eurasian Wren	Troglodytes troglodytes	strzyżyk	
Marsh Wren	Cistothorus palustris	strzyżyk błotny	
White-throated Dipper	Cinclus cinclus	pluszcz	
European Starling	Sturnus vulgaris	szpak	
Spotless Starling	Sturnus unicolor	szpak jednobarwny	
Rosy Starling	Pastor roseus	pasterz	
Daurian Starling	Agropsar sturninus	szpak mandżurski	Rare/Accidental
Crested Myna	Acridotheres cristatellus	majna czubata	Introduced species
